inflammatory bowel_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
2188,2206,pde2a,pde2a,0.5360413622821454,-38.02239214049445,0.048329700405399,0.3172684560219447,3,-30.08085600535075,-58.78894702593485,-25.197373390197754,0.41717732681741126,0.634019802678933,0.5965483025050032,0.5360413622821454
2189,3084,pcyt1a,pcyt1a,0.49674676081659097,-33.57567663987478,-0.040938804081330694,0.2664831653237343,3,-23.210733294487,-52.31628052393595,-25.200016101201374,0.5137889279503771,0.44985646788254346,0.5209141642389236,0.49674676081659097
2190,2783,slc44a4,slc44a4,0.5108003197507767,-31.005531311035156,-0.061852886651953064,0.27691617608070374,3,-24.807209968566895,-42.99880345662435,-25.210580507914226,0.5696292117124047,0.40671015090816837,0.5364519659778811,0.5108003197507767
2191,2910,prkag1,prkag1,0.5054500069571731,-34.48378684785631,-0.027859825640916824,0.2855091740687688,3,-24.62496344248454,-53.61277802785238,-25.213619073232014,0.49405886399956667,0.47683875350686195,0.5492494510176263,0.5054500069571731
2192,2768,calr,calr,0.5113649098278004,-29.504371152983772,-0.1265309825539589,0.33857499559720355,3,-23.86464575926463,-39.434313217798866,-25.214154481887817,0.6022441803125208,0.27327749290542586,0.6282799661038809,0.5113649098278004
2193,4019,tbx3,tbx3,0.4440669103258677,-37.340812312232124,-0.067908501252532,0.25917144616444904,3,-28.17272663116455,-58.63524786631266,-25.214462439219158,0.431985676598093,0.3942172544997816,0.5100248777889868,0.4440669103258677
2194,2312,gypc,gypc,0.5318539419578869,-36.59663653373718,0.018927481025457382,0.3208924929300944,3,-24.56293527285258,-60.01246849695841,-25.214505831400555,0.4481540178096566,0.5733622303071451,0.601945552472936,0.5318539419578869
2195,4316,cd248,cd248,0.4179336933222023,-37.7756114270952,-0.10411449770132701,0.2592914899190267,3,-30.295361359914143,-57.8139697710673,-25.217503150304157,0.4225390100298666,0.3195233063489247,0.5102036580185941,0.4179336933222023
2196,2380,oxt,oxt,0.528929099420676,-28.630554291937088,-0.09098252033193906,0.31164713203907013,3,-22.262634714444477,-38.404754956563316,-25.224273204803467,0.6212291695772799,0.3466149301945636,0.5881765084379832,0.528929099420676
2197,4510,m6pr,m6pr,0.39123865428638327,-39.32391373316447,-0.10959717631340027,0.2372539887825648,3,-28.232944011688232,-64.5130049387614,-25.22579224904378,0.3888998071606095,0.30821239235275316,0.4773833790543785,0.39123865428638327
2198,2110,lcmt1,lcmt1,0.5400033616438722,-33.21346131960551,0.009635573873917261,0.28619686762491864,3,-25.687482595443726,-48.726639906565346,-25.226261456807453,0.5216586021045315,0.5541927749938164,0.5502736276797157,0.5400033616438722
2199,4105,kcnk1,kcnk1,0.4385793280336656,-33.41504377788968,-0.08479550232489903,0.19392036646604538,3,-25.098798513412476,-49.915610472361244,-25.230722347895306,0.5172789191559733,0.3593789153780634,0.4128469525261909,0.4385793280336656
2200,4160,dhtkd1,dhtkd1,0.43331370590446583,-40.23760649893019,0.0059244700241833925,0.18917367855707803,3,-30.270931243896484,-65.21042664845784,-25.231461604436237,0.3690484537218898,0.5465366675607148,0.40577774715831816,0.43331370590446583
2201,1826,map3k9,map3k9,0.5520642278974065,-30.154535902871025,-0.05164818527797858,0.3385841101408005,3,-20.5460680325826,-44.683144648869835,-25.234395027160645,0.588118370492201,0.4277627253456825,0.6282935403227378,0.5520642278974065
2202,839,slc25a12,slc25a12,0.6074607234807474,-27.165239241388107,0.057529366264740624,0.25318970531225204,3,-20.030606508255005,-36.23018503189087,-25.234926184018452,0.6530653491525286,0.6529989617161577,0.5011163176829624,0.6074607234807474
2203,2167,cep63,cep63,0.5374920031878947,-31.17347166273329,0.04151958475510279,0.19672848035891852,3,-24.620951016743977,-43.66189670562744,-25.23756726582845,0.5659804542710687,0.6199703502352206,0.41702905469633667,0.5374920031878947
2204,4667,hlcs,hlcs,0.3521418064183539,-36.59585642814636,-0.1202332799633344,0.11141671674946944,3,-24.45870327949524,-60.089880307515465,-25.238985697428387,0.44817096678023305,0.28626982337308465,0.28997490898111766,0.3521418064183539
2205,572,eif4e2,eif4e2,0.6310725811049297,-34.95705432362027,0.1272212943683068,0.3610586921374003,3,-21.02954562505086,-58.60169378916422,-25.23992355664571,0.4837764142697961,0.79677529091243,0.6617647604109409,0.6310725811049297
2206,4389,sgca,sgca,0.4117548608040703,-33.07099821832445,-0.11818234141295154,0.17343849937121072,3,-21.177960236867268,-52.7902045249939,-25.244829893112183,0.5247538278537869,0.2905009649730554,0.38234346723546314,0.4117548608040703
2207,2341,gpr87,gpr87,0.5305095911603401,-32.105736361609566,-0.024817210622131824,0.29112658898035687,3,-27.312739849090576,-43.75820970535278,-25.246259530385334,0.5457255975738889,0.4831157504340853,0.5576154233351966,0.5305095911603401
2208,2744,chrna5,chrna5,0.5126340502134568,-36.80523779657152,0.009369641076773405,0.2951720058917999,3,-26.228402535120647,-58.93963575363159,-25.247675100962322,0.4436218407459395,0.5536441484537467,0.56364023126319,0.5126340502134568
2209,2002,paics,paics,0.5443424522449044,-28.989460521274143,-0.009112715721130371,0.23971716811259589,3,-21.568863073984783,-40.14494387308756,-25.25457461675008,0.6134313904146561,0.515514547399383,0.48105177286409023,0.5443424522449044
2210,3453,ptprd,ptprd,0.4796233337529988,-34.43156202634176,-0.04733370120326678,0.2536640713612239,3,-27.715800682703655,-50.320769945780434,-25.25811545054118,0.49519352701650604,0.4366636224727645,0.5018227873485566,0.4796233337529988
2211,4193,c4a,c4a,0.43115910828598114,-36.83404719829559,-0.09764892887324095,0.26162159194548923,3,-24.62429479757945,-60.61695623397827,-25.26089056332906,0.44299591304090463,0.33286194939646135,0.513673860835603,0.43115910828598114
2212,1252,adra2b,adra2b,0.5826179717177462,-29.61847013897366,0.00015023847421010336,0.32478906710942584,3,-21.432783285776775,-42.16109832127889,-25.261528809865315,0.5997652077489298,0.5346242719824099,0.6077486900781712,0.5826179717177462
2213,928,hcrtr1,hcrtr1,0.601914647825874,-31.941761281755234,0.04158469786246618,0.35577326019605,3,-24.368930101394653,-46.19304736455282,-25.263306379318237,0.5492882035036871,0.6201046803336124,0.6538932077477181,0.601914647825874
